,이름,위도,경도,주소,타입
109,부산송도해수욕장,35.07710323561051,129.01799632893008,"부산광역시 서구 송도해변로 97(101,102,201) (암남동)1522-3232",pin_general
110,부민사거리,35.103605807879525,129.02022589771644,부산광역시 서구 구덕로 212 (부민동1가)1522-3232,pin_general
111,부산동대신역,35.112587011543894,129.01665029206123,부산광역시 서구 구덕로322번길 7 (동대신동3가)1522-3232,pin_general
112,동아대병원,35.119438528976126,129.017307269526,부산광역시 서구 동대로 8 (동대신동3가)1522-3232,pin_general
113,해운대동백,35.158371,129.153065,"부산광역시 해운대구 해운대해변로 197 (우동, 해운대경동제이드아파트)1522-3232",pin_general
114,수영강변DT,35.203889,129.119336,부산광역시 해운대구 수영강변대로 516 (반여동)1522-3232,pin_generalDT
115,센텀파크,35.178759,129.122541,"부산광역시 해운대구 센텀중앙로 145 (재송동, 더샵센텀파크1차아파트)1522-3232",pin_general
116,해운대역,35.16314488870613,129.159592828631,부산광역시 해운대구 구남로 9 (우동)1522-3232,pin_general
117,부산재송DT,35.181271,129.12405,부산광역시 해운대구 해운대로 189 (재송동)1522-3232,pin_generalDT
118,해운대,35.16010998444482,129.1621351429391,부산광역시 해운대구 구남로 49 (중동) 101호1522-3232,pin_generalWT
119,센텀로,35.16795936349709,129.13161527286658,부산광역시 해운대구 센텀2로 10 (우동) 센텀메디컬센타 1층 스타벅스 센텀로점1522-3232,pin_general
120,센텀신세계B1,35.1687027,129.1297466,부산광역시 해운대구 센텀남대로 35 (우동) 센텀시티 신세계UEC1522-3232,pin_general
121,해운대달맞이DT,35.161561146872124,129.17118262179758,부산광역시 해운대구 달맞이길 57 (중동) 1~3층1522-3232,pin_generalDT
122,센텀그린타워,35.174668,129.126697,부산광역시 해운대구 센텀중앙로 78 (우동)1522-3232,pin_general
123,부산송정비치,35.1807279,129.20227690000001,부산광역시 해운대구 송정해변로 36 (송정동)1522-3232,pin_general
124,장산역,35.16938036315796,129.17635093623397,부산광역시 해운대구 해운대로 802 (좌동)1522-3232,pin_general
125,하버타운,35.1596216193727,129.159708147728,부산광역시 해운대구 해운대해변로 257 (우동)1522-3232,pin_general
126,벡스코,35.16884711,129.1354444,"부산광역시 해운대구 APEC로 55, 벡스코내 (우동)1522-3232",pin_general
127,팔레드시즈,35.16002278096324,129.16600632968368,"부산광역시 해운대구 해운대해변로298번길 24, 팔래드시즈 1-3호 (중동)1522-3232",pin_general
128,제니스스퀘어,35.156657,129.144091,"부산광역시 해운대구 마린시티2로 33, 제니스스퀘어 (우동)1522-3232",pin_general
129,마린시티아이파크,35.15692363388198,129.14342465971165,부산광역시 해운대구 마린시티2로 38 (우동)1522-3232,pin_general
130,해운대달맞이,35.157925,129.182307,부산광역시 해운대구 달맞이길 189 (중동)1522-3232,pin_general
131,해운대이마트,35.166029,129.167397,부산광역시 해운대구 좌동순환로 511 (중동) 1층1522-3232,pin_general
132,센텀드림월드,35.167027,129.132829,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 1층 (우동)1522-3232",pin_general
133,센텀KNN,35.171915887158804,129.12851394978156,부산광역시 해운대구 센텀서로 30 (우동)1522-3232,pin_general
134,월드마크센텀,35.17137,129.131112,"부산광역시 해운대구 센텀동로 25, 1층 (우동)1522-3232",pin_general
135,엘시티,35.15999407665911,129.16861715737573,"부산광역시 해운대구 달맞이길 30 (중동, 엘시티) 1021호, 1022호, 1023호1522-3232",pin_general
136,해운대NC,35.170306975015485,129.1770642834487,부산광역시 해운대구 해운대로 813 (좌동)1522-3232,pin_general
137,해운대좌동,35.1775937,129.1755895,부산광역시 해운대구 좌동순환로 178 (좌동)1522-3232,pin_general
138,해운대 엑스더스카이,35.15977196666398,129.16969758941596,부산광역시 해운대구 달맞이길30 1522-3232,pin_general
139,부산성모안과병원,35.167491,129.1407913,부산광역시 해운대구 해운대로 409 (우동)1522-3232,pin_general
140,센텀신세계3F,35.16906348,129.12906568,부산광역시 해운대구 센텀남대로 35 (우동)1522-3232,pin_general
141,해운대중동역,35.1671846,129.1678855,부산광역시 해운대구 좌동순환로 6 (중동)1522-3232,pin_general
142,센텀몰1F,35.1699363928397,129.12834162026075,부산광역시 해운대구 센텀4로 15 (우동)1522-3232,pin_general
143,그랜드조선 부산,35.16005799129259,129.16315426317894,부산광역시 해운대구 해운대해변로 292 (중동)1522-3232,pin_general
