"시도별","시점","연령계층별","성별",데이터
"서울특별시","2015.4/4","50 - 59세","남자",665
"서울특별시","2015.4/4","50 - 59세","여자",501
"서울특별시","2015.4/4","60세이상","남자",383
"서울특별시","2015.4/4","60세이상","여자",259
"서울특별시","2016.1/4","20 - 29세","남자",342
"서울특별시","2016.1/4","20 - 29세","여자",453
"서울특별시","2016.1/4","30 - 39세","남자",727
"서울특별시","2016.1/4","30 - 39세","여자",507
"서울특별시","2016.1/4","40 - 49세","남자",740
"서울특별시","2016.1/4","40 - 49세","여자",534
"서울특별시","2016.1/4","50 - 59세","남자",656
"서울특별시","2016.1/4","50 - 59세","여자",485
"서울특별시","2016.1/4","60세이상","남자",359
"서울특별시","2016.1/4","60세이상","여자",253
"서울특별시","2016.2/4","20 - 29세","남자",351
"서울특별시","2016.2/4","20 - 29세","여자",466
"서울특별시","2016.2/4","30 - 39세","남자",724
"서울특별시","2016.2/4","30 - 39세","여자",503
"서울특별시","2016.2/4","40 - 49세","남자",748
"서울특별시","2016.2/4","40 - 49세","여자",536
"서울특별시","2016.2/4","50 - 59세","남자",655
"서울특별시","2016.2/4","50 - 59세","여자",482
"서울특별시","2016.2/4","60세이상","남자",371
"서울특별시","2016.2/4","60세이상","여자",274
"서울특별시","2016.3/4","20 - 29세","남자",344
"서울특별시","2016.3/4","20 - 29세","여자",469
"서울특별시","2016.3/4","30 - 39세","남자",714
"서울특별시","2016.3/4","30 - 39세","여자",491
"서울특별시","2016.3/4","40 - 49세","남자",744
"서울특별시","2016.3/4","40 - 49세","여자",529
"서울특별시","2016.3/4","50 - 59세","남자",660
"서울특별시","2016.3/4","50 - 59세","여자",481
"서울특별시","2016.3/4","60세이상","남자",404
"서울특별시","2016.3/4","60세이상","여자",279
"서울특별시","2016.4/4","20 - 29세","남자",329
"서울특별시","2016.4/4","20 - 29세","여자",468
"서울특별시","2016.4/4","30 - 39세","남자",721
"서울특별시","2016.4/4","30 - 39세","여자",494
"서울특별시","2016.4/4","40 - 49세","남자",748
"서울특별시","2016.4/4","40 - 49세","여자",521
"서울특별시","2016.4/4","50 - 59세","남자",660
"서울특별시","2016.4/4","50 - 59세","여자",498
"서울특별시","2016.4/4","60세이상","남자",412
"서울특별시","2016.4/4","60세이상","여자",276
"서울특별시","2017.1/4","20 - 29세","남자",320
"서울특별시","2017.1/4","20 - 29세","여자",461
"서울특별시","2017.1/4","30 - 39세","남자",714
"서울특별시","2017.1/4","30 - 39세","여자",503
"서울특별시","2017.1/4","40 - 49세","남자",734
"서울특별시","2017.1/4","40 - 49세","여자",501
"서울특별시","2017.1/4","50 - 59세","남자",658
"서울특별시","2017.1/4","50 - 59세","여자",491
"서울특별시","2017.1/4","60세이상","남자",394
"서울특별시","2017.1/4","60세이상","여자",270
"서울특별시","2017.2/4","20 - 29세","남자",329
"서울특별시","2017.2/4","20 - 29세","여자",483
"서울특별시","2017.2/4","30 - 39세","남자",708
"서울특별시","2017.2/4","30 - 39세","여자",521
"서울특별시","2017.2/4","40 - 49세","남자",734
"서울특별시","2017.2/4","40 - 49세","여자",502
"서울특별시","2017.2/4","50 - 59세","남자",649
"서울특별시","2017.2/4","50 - 59세","여자",488
"서울특별시","2017.2/4","60세이상","남자",415
"서울특별시","2017.2/4","60세이상","여자",293
"서울특별시","2017.3/4","20 - 29세","남자",334
"서울특별시","2017.3/4","20 - 29세","여자",485
"서울특별시","2017.3/4","30 - 39세","남자",707
"서울특별시","2017.3/4","30 - 39세","여자",531
"서울특별시","2017.3/4","40 - 49세","남자",728
"서울특별시","2017.3/4","40 - 49세","여자",504
"서울특별시","2017.3/4","50 - 59세","남자",650
"서울특별시","2017.3/4","50 - 59세","여자",489
"서울특별시","2017.3/4","60세이상","남자",412
"서울특별시","2017.3/4","60세이상","여자",306
"서울특별시","2017.4/4","20 - 29세","남자",333
"서울특별시","2017.4/4","20 - 29세","여자",472
"서울특별시","2017.4/4","30 - 39세","남자",699
"서울특별시","2017.4/4","30 - 39세","여자",525
"서울특별시","2017.4/4","40 - 49세","남자",722
"서울특별시","2017.4/4","40 - 49세","여자",493
"서울특별시","2017.4/4","50 - 59세","남자",660
"서울특별시","2017.4/4","50 - 59세","여자",486
"서울특별시","2017.4/4","60세이상","남자",413
"서울특별시","2017.4/4","60세이상","여자",302
"서울특별시","2018.1/4","20 - 29세","남자",339
"서울특별시","2018.1/4","20 - 29세","여자",477
"서울특별시","2018.1/4","30 - 39세","남자",693
"서울특별시","2018.1/4","30 - 39세","여자",513
"서울특별시","2018.1/4","40 - 49세","남자",719
"서울특별시","2018.1/4","40 - 49세","여자",494
"서울특별시","2018.1/4","50 - 59세","남자",638
"서울특별시","2018.1/4","50 - 59세","여자",479
"서울특별시","2018.1/4","60세이상","남자",401
"서울특별시","2018.1/4","60세이상","여자",290
"서울특별시","2018.2/4","20 - 29세","남자",340
"서울특별시","2018.2/4","20 - 29세","여자",485
"서울특별시","2018.2/4","30 - 39세","남자",680
"서울특별시","2018.2/4","30 - 39세","여자",521
"서울특별시","2018.2/4","40 - 49세","남자",722
"서울특별시","2018.2/4","40 - 49세","여자",502
"서울특별시","2018.2/4","50 - 59세","남자",638
"서울특별시","2018.2/4","50 - 59세","여자",481
"서울특별시","2018.2/4","60세이상","남자",411
"서울특별시","2018.2/4","60세이상","여자",294
"서울특별시","2018.3/4","20 - 29세","남자",328
"서울특별시","2018.3/4","20 - 29세","여자",492
"서울특별시","2018.3/4","30 - 39세","남자",672
"서울특별시","2018.3/4","30 - 39세","여자",519
"서울특별시","2018.3/4","40 - 49세","남자",708
"서울특별시","2018.3/4","40 - 49세","여자",513
"서울특별시","2018.3/4","50 - 59세","남자",631
"서울특별시","2018.3/4","50 - 59세","여자",471
"서울특별시","2018.3/4","60세이상","남자",413
"서울특별시","2018.3/4","60세이상","여자",298
"서울특별시","2018.4/4","20 - 29세","남자",331
"서울특별시","2018.4/4","20 - 29세","여자",492
"서울특별시","2018.4/4","30 - 39세","남자",669
"서울특별시","2018.4/4","30 - 39세","여자",506
"서울특별시","2018.4/4","40 - 49세","남자",702
"서울특별시","2018.4/4","40 - 49세","여자",510
"서울특별시","2018.4/4","50 - 59세","남자",629
"서울특별시","2018.4/4","50 - 59세","여자",473
"서울특별시","2018.4/4","60세이상","남자",420
"서울특별시","2018.4/4","60세이상","여자",301
"서울특별시","2019.1/4","20 - 29세","남자",349
"서울특별시","2019.1/4","20 - 29세","여자",484
"서울특별시","2019.1/4","30 - 39세","남자",654
"서울특별시","2019.1/4","30 - 39세","여자",499
"서울특별시","2019.1/4","40 - 49세","남자",688
"서울특별시","2019.1/4","40 - 49세","여자",476
"서울특별시","2019.1/4","50 - 59세","남자",626
"서울특별시","2019.1/4","50 - 59세","여자",461
"서울특별시","2019.1/4","60세이상","남자",407
"서울특별시","2019.1/4","60세이상","여자",296
"서울특별시","2019.2/4","20 - 29세","남자",345
"서울특별시","2019.2/4","20 - 29세","여자",480
"서울특별시","2019.2/4","30 - 39세","남자",665
"서울특별시","2019.2/4","30 - 39세","여자",519
"서울특별시","2019.2/4","40 - 49세","남자",687
"서울특별시","2019.2/4","40 - 49세","여자",482
"서울특별시","2019.2/4","50 - 59세","남자",632
"서울특별시","2019.2/4","50 - 59세","여자",478
"서울특별시","2019.2/4","60세이상","남자",437
"서울특별시","2019.2/4","60세이상","여자",340
"서울특별시","2019.3/4","20 - 29세","남자",363
"서울특별시","2019.3/4","20 - 29세","여자",484
"서울특별시","2019.3/4","30 - 39세","남자",672
"서울특별시","2019.3/4","30 - 39세","여자",525
"서울특별시","2019.3/4","40 - 49세","남자",681
"서울특별시","2019.3/4","40 - 49세","여자",474
"서울특별시","2019.3/4","50 - 59세","남자",627
"서울특별시","2019.3/4","50 - 59세","여자",491
"서울특별시","2019.3/4","60세이상","남자",448
"서울특별시","2019.3/4","60세이상","여자",345
"서울특별시","2019.4/4","20 - 29세","남자",355
"서울특별시","2019.4/4","20 - 29세","여자",484
"서울특별시","2019.4/4","30 - 39세","남자",659
"서울특별시","2019.4/4","30 - 39세","여자",516
"서울특별시","2019.4/4","40 - 49세","남자",675
"서울특별시","2019.4/4","40 - 49세","여자",490
"서울특별시","2019.4/4","50 - 59세","남자",618
"서울특별시","2019.4/4","50 - 59세","여자",493
"서울특별시","2019.4/4","60세이상","남자",445
"서울특별시","2019.4/4","60세이상","여자",362
"서울특별시","2020.1/4","20 - 29세","남자",336
"서울특별시","2020.1/4","20 - 29세","여자",476
"서울특별시","2020.1/4","30 - 39세","남자",662
"서울특별시","2020.1/4","30 - 39세","여자",506
"서울특별시","2020.1/4","40 - 49세","남자",673
"서울특별시","2020.1/4","40 - 49세","여자",501
"서울특별시","2020.1/4","50 - 59세","남자",608
"서울특별시","2020.1/4","50 - 59세","여자",492
"서울특별시","2020.1/4","60세이상","남자",449
"서울특별시","2020.1/4","60세이상","여자",335
"서울특별시","2020.2/4","20 - 29세","남자",329
"서울특별시","2020.2/4","20 - 29세","여자",487
"서울특별시","2020.2/4","30 - 39세","남자",654
"서울특별시","2020.2/4","30 - 39세","여자",485
"서울특별시","2020.2/4","40 - 49세","남자",667
"서울특별시","2020.2/4","40 - 49세","여자",488
"서울특별시","2020.2/4","50 - 59세","남자",618
"서울특별시","2020.2/4","50 - 59세","여자",473
"서울특별시","2020.2/4","60세이상","남자",459
"서울특별시","2020.2/4","60세이상","여자",336
"서울특별시","2020.3/4","20 - 29세","남자",330
"서울특별시","2020.3/4","20 - 29세","여자",494
"서울특별시","2020.3/4","30 - 39세","남자",658
"서울특별시","2020.3/4","30 - 39세","여자",482
"서울특별시","2020.3/4","40 - 49세","남자",664
"서울특별시","2020.3/4","40 - 49세","여자",489
"서울특별시","2020.3/4","50 - 59세","남자",622
"서울특별시","2020.3/4","50 - 59세","여자",474
"서울특별시","2020.3/4","60세이상","남자",469
"서울특별시","2020.3/4","60세이상","여자",353
"서울특별시","2020.4/4","20 - 29세","남자",329
"서울특별시","2020.4/4","20 - 29세","여자",499
"서울특별시","2020.4/4","30 - 39세","남자",654
"서울특별시","2020.4/4","30 - 39세","여자",486
"서울특별시","2020.4/4","40 - 49세","남자",662
"서울특별시","2020.4/4","40 - 49세","여자",477
"서울특별시","2020.4/4","50 - 59세","남자",623
"서울특별시","2020.4/4","50 - 59세","여자",478
"서울특별시","2020.4/4","60세이상","남자",469
"서울특별시","2020.4/4","60세이상","여자",354
"서울특별시","2021.1/4","20 - 29세","남자",337
"서울특별시","2021.1/4","20 - 29세","여자",499
"서울특별시","2021.1/4","30 - 39세","남자",651
"서울특별시","2021.1/4","30 - 39세","여자",487
"서울특별시","2021.1/4","40 - 49세","남자",653
"서울특별시","2021.1/4","40 - 49세","여자",470
"서울특별시","2021.1/4","50 - 59세","남자",612
"서울특별시","2021.1/4","50 - 59세","여자",456
"서울특별시","2021.1/4","60세이상","남자",440
"서울특별시","2021.1/4","60세이상","여자",317
"서울특별시","2021.2/4","20 - 29세","남자",357
"서울특별시","2021.2/4","20 - 29세","여자",521
"서울특별시","2021.2/4","30 - 39세","남자",646
"서울특별시","2021.2/4","30 - 39세","여자",486
"서울특별시","2021.2/4","40 - 49세","남자",658
"서울특별시","2021.2/4","40 - 49세","여자",472
"서울특별시","2021.2/4","50 - 59세","남자",615
"서울특별시","2021.2/4","50 - 59세","여자",475
"서울특별시","2021.2/4","60세이상","남자",459
"서울특별시","2021.2/4","60세이상","여자",349
"서울특별시","2021.3/4","20 - 29세","남자",348
"서울특별시","2021.3/4","20 - 29세","여자",536
"서울특별시","2021.3/4","30 - 39세","남자",649
"서울특별시","2021.3/4","30 - 39세","여자",492
"서울특별시","2021.3/4","40 - 49세","남자",650
"서울특별시","2021.3/4","40 - 49세","여자",469
"서울특별시","2021.3/4","50 - 59세","남자",602
"서울특별시","2021.3/4","50 - 59세","여자",488
"서울특별시","2021.3/4","60세이상","남자",469
"서울특별시","2021.3/4","60세이상","여자",340
"서울특별시","2021.4/4","20 - 29세","남자",348
"서울특별시","2021.4/4","20 - 29세","여자",524
"서울특별시","2021.4/4","30 - 39세","남자",655
"서울특별시","2021.4/4","30 - 39세","여자",508
"서울특별시","2021.4/4","40 - 49세","남자",647
"서울특별시","2021.4/4","40 - 49세","여자",470
"서울특별시","2021.4/4","50 - 59세","남자",609
"서울특별시","2021.4/4","50 - 59세","여자",491
"서울특별시","2021.4/4","60세이상","남자",479
"서울특별시","2021.4/4","60세이상","여자",341
"서울특별시","2022.1/4","20 - 29세","남자",346
"서울특별시","2022.1/4","20 - 29세","여자",530
"서울특별시","2022.1/4","30 - 39세","남자",655
"서울특별시","2022.1/4","30 - 39세","여자",503
"서울특별시","2022.1/4","40 - 49세","남자",654
"서울특별시","2022.1/4","40 - 49세","여자",459
"서울특별시","2022.1/4","50 - 59세","남자",606
"서울특별시","2022.1/4","50 - 59세","여자",486
"서울특별시","2022.1/4","60세이상","남자",469
"서울특별시","2022.1/4","60세이상","여자",318
"서울특별시","2022.2/4","20 - 29세","남자",347
"서울특별시","2022.2/4","20 - 29세","여자",527
"서울특별시","2022.2/4","30 - 39세","남자",641
"서울특별시","2022.2/4","30 - 39세","여자",517
"서울특별시","2022.2/4","40 - 49세","남자",660
"서울특별시","2022.2/4","40 - 49세","여자",457
"서울특별시","2022.2/4","50 - 59세","남자",627
"서울특별시","2022.2/4","50 - 59세","여자",493
"서울특별시","2022.2/4","60세이상","남자",486
"서울특별시","2022.2/4","60세이상","여자",346
"서울특별시","2022.3/4","20 - 29세","남자",346
"서울특별시","2022.3/4","20 - 29세","여자",520
"서울특별시","2022.3/4","30 - 39세","남자",635
"서울특별시","2022.3/4","30 - 39세","여자",521
"서울특별시","2022.3/4","40 - 49세","남자",652
"서울특별시","2022.3/4","40 - 49세","여자",460
"서울특별시","2022.3/4","50 - 59세","남자",625
"서울특별시","2022.3/4","50 - 59세","여자",490
"서울특별시","2022.3/4","60세이상","남자",489
"서울특별시","2022.3/4","60세이상","여자",363
"서울특별시","2022.4/4","20 - 29세","남자",340
"서울특별시","2022.4/4","20 - 29세","여자",500
"서울특별시","2022.4/4","30 - 39세","남자",644
"서울특별시","2022.4/4","30 - 39세","여자",527
"서울특별시","2022.4/4","40 - 49세","남자",649
"서울특별시","2022.4/4","40 - 49세","여자",465
"서울특별시","2022.4/4","50 - 59세","남자",624
"서울특별시","2022.4/4","50 - 59세","여자",483
"서울특별시","2022.4/4","60세이상","남자",495
"서울특별시","2022.4/4","60세이상","여자",371
"서울특별시","2023.1/4","20 - 29세","남자",348
"서울특별시","2023.1/4","20 - 29세","여자",509
"서울특별시","2023.1/4","30 - 39세","남자",633
"서울특별시","2023.1/4","30 - 39세","여자",539
"서울특별시","2023.1/4","40 - 49세","남자",634
"서울특별시","2023.1/4","40 - 49세","여자",463
"서울특별시","2023.1/4","50 - 59세","남자",620
"서울특별시","2023.1/4","50 - 59세","여자",466
"서울특별시","2023.1/4","60세이상","남자",490
"서울특별시","2023.1/4","60세이상","여자",374
"서울특별시","2023.2/4","20 - 29세","남자",355
"서울특별시","2023.2/4","20 - 29세","여자",510
"서울특별시","2023.2/4","30 - 39세","남자",638
"서울특별시","2023.2/4","30 - 39세","여자",547
"서울특별시","2023.2/4","40 - 49세","남자",645
"서울특별시","2023.2/4","40 - 49세","여자",476
"서울특별시","2023.2/4","50 - 59세","남자",626
"서울특별시","2023.2/4","50 - 59세","여자",477
"서울특별시","2023.2/4","60세이상","남자",516
"서울특별시","2023.2/4","60세이상","여자",385
"서울특별시","2023.3/4","20 - 29세","남자",375
"서울특별시","2023.3/4","20 - 29세","여자",492
"서울특별시","2023.3/4","30 - 39세","남자",638
"서울특별시","2023.3/4","30 - 39세","여자",546
"서울특별시","2023.3/4","40 - 49세","남자",626
"서울특별시","2023.3/4","40 - 49세","여자",472
"서울특별시","2023.3/4","50 - 59세","남자",625
"서울특별시","2023.3/4","50 - 59세","여자",481
"서울특별시","2023.3/4","60세이상","남자",515
"서울특별시","2023.3/4","60세이상","여자",385
"서울특별시","2023.4/4","20 - 29세","남자",368
"서울특별시","2023.4/4","20 - 29세","여자",509
"서울특별시","2023.4/4","30 - 39세","남자",643
"서울특별시","2023.4/4","30 - 39세","여자",557
"서울특별시","2023.4/4","40 - 49세","남자",625
"서울특별시","2023.4/4","40 - 49세","여자",466
"서울특별시","2023.4/4","50 - 59세","남자",624
"서울특별시","2023.4/4","50 - 59세","여자",478
"서울특별시","2023.4/4","60세이상","남자",526
"서울특별시","2023.4/4","60세이상","여자",396
"서울특별시","2024.1/4","20 - 29세","남자",366
"서울특별시","2024.1/4","20 - 29세","여자",518
"서울특별시","2024.1/4","30 - 39세","남자",635
"서울특별시","2024.1/4","30 - 39세","여자",571
"서울특별시","2024.1/4","40 - 49세","남자",617
"서울특별시","2024.1/4","40 - 49세","여자",457
"서울특별시","2024.1/4","50 - 59세","남자",626
"서울특별시","2024.1/4","50 - 59세","여자",485
"서울특별시","2024.1/4","60세이상","남자",518
"서울특별시","2024.1/4","60세이상","여자",397
"서울특별시","2024.2/4","20 - 29세","남자",351
"서울특별시","2024.2/4","20 - 29세","여자",484
"서울특별시","2024.2/4","30 - 39세","남자",647
"서울특별시","2024.2/4","30 - 39세","여자",593
"서울특별시","2024.2/4","40 - 49세","남자",617
"서울특별시","2024.2/4","40 - 49세","여자",467
"서울특별시","2024.2/4","50 - 59세","남자",615
"서울특별시","2024.2/4","50 - 59세","여자",485
"서울특별시","2024.2/4","60세이상","남자",537
"서울특별시","2024.2/4","60세이상","여자",427
"서울특별시","2024.3/4","20 - 29세","남자",351
"서울특별시","2024.3/4","20 - 29세","여자",471
"서울특별시","2024.3/4","30 - 39세","남자",661
"서울특별시","2024.3/4","30 - 39세","여자",589
"서울특별시","2024.3/4","40 - 49세","남자",612
"서울특별시","2024.3/4","40 - 49세","여자",467
"서울특별시","2024.3/4","50 - 59세","남자",617
"서울특별시","2024.3/4","50 - 59세","여자",478
"서울특별시","2024.3/4","60세이상","남자",530
"서울특별시","2024.3/4","60세이상","여자",435
"서울특별시","2024.4/4","20 - 29세","남자",337
"서울특별시","2024.4/4","20 - 29세","여자",471
"서울특별시","2024.4/4","30 - 39세","남자",655
"서울특별시","2024.4/4","30 - 39세","여자",579
"서울특별시","2024.4/4","40 - 49세","남자",605
"서울특별시","2024.4/4","40 - 49세","여자",470
"서울특별시","2024.4/4","50 - 59세","남자",617
"서울특별시","2024.4/4","50 - 59세","여자",477
"서울특별시","2024.4/4","60세이상","남자",537
"서울특별시","2024.4/4","60세이상","여자",442
"부산광역시","2014.1/4","20 - 29세","남자",96
"부산광역시","2014.1/4","20 - 29세","여자",121
"부산광역시","2014.1/4","30 - 39세","남자",221
"부산광역시","2014.1/4","30 - 39세","여자",129
"부산광역시","2014.1/4","40 - 49세","남자",247
"부산광역시","2014.1/4","40 - 49세","여자",171
"부산광역시","2014.1/4","50 - 59세","남자",255
"부산광역시","2014.1/4","50 - 59세","여자",180
"부산광역시","2014.1/4","60세이상","남자",132
"부산광역시","2014.1/4","60세이상","여자",79
"부산광역시","2014.2/4","20 - 29세","남자",104
"부산광역시","2014.2/4","20 - 29세","여자",124
"부산광역시","2014.2/4","30 - 39세","남자",227
"부산광역시","2014.2/4","30 - 39세","여자",136
"부산광역시","2014.2/4","40 - 49세","남자",247
"부산광역시","2014.2/4","40 - 49세","여자",179
"부산광역시","2014.2/4","50 - 59세","남자",254
"부산광역시","2014.2/4","50 - 59세","여자",186
"부산광역시","2014.2/4","60세이상","남자",144
"부산광역시","2014.2/4","60세이상","여자",91
"부산광역시","2014.3/4","20 - 29세","남자",113
"부산광역시","2014.3/4","20 - 29세","여자",122
"부산광역시","2014.3/4","30 - 39세","남자",223
"부산광역시","2014.3/4","30 - 39세","여자",135
"부산광역시","2014.3/4","40 - 49세","남자",249
"부산광역시","2014.3/4","40 - 49세","여자",180
"부산광역시","2014.3/4","50 - 59세","남자",253
"부산광역시","2014.3/4","50 - 59세","여자",190
"부산광역시","2014.3/4","60세이상","남자",144
"부산광역시","2014.3/4","60세이상","여자",97
"부산광역시","2014.4/4","20 - 29세","남자",105
"부산광역시","2014.4/4","20 - 29세","여자",120
"부산광역시","2014.4/4","30 - 39세","남자",220
"부산광역시","2014.4/4","30 - 39세","여자",134
"부산광역시","2014.4/4","40 - 49세","남자",244
"부산광역시","2014.4/4","40 - 49세","여자",181
"부산광역시","2014.4/4","50 - 59세","남자",251
"부산광역시","2014.4/4","50 - 59세","여자",190
"부산광역시","2014.4/4","60세이상","남자",144
"부산광역시","2014.4/4","60세이상","여자",98
"부산광역시","2015.1/4","20 - 29세","남자",111
"부산광역시","2015.1/4","20 - 29세","여자",112
"부산광역시","2015.1/4","30 - 39세","남자",219
"부산광역시","2015.1/4","30 - 39세","여자",131
"부산광역시","2015.1/4","40 - 49세","남자",245
"부산광역시","2015.1/4","40 - 49세","여자",175
"부산광역시","2015.1/4","50 - 59세","남자",246
"부산광역시","2015.1/4","50 - 59세","여자",184
"부산광역시","2015.1/4","60세이상","남자",139
"부산광역시","2015.1/4","60세이상","여자",98
"부산광역시","2015.2/4","20 - 29세","남자",108
"부산광역시","2015.2/4","20 - 29세","여자",119
"부산광역시","2015.2/4","30 - 39세","남자",219
"부산광역시","2015.2/4","30 - 39세","여자",133
"부산광역시","2015.2/4","40 - 49세","남자",242
"부산광역시","2015.2/4","40 - 49세","여자",176
"부산광역시","2015.2/4","50 - 59세","남자",243
"부산광역시","2015.2/4","50 - 59세","여자",181
"부산광역시","2015.2/4","60세이상","남자",150
"부산광역시","2015.2/4","60세이상","여자",102
"부산광역시","2015.3/4","20 - 29세","남자",109
"부산광역시","2015.3/4","20 - 29세","여자",118
"부산광역시","2015.3/4","30 - 39세","남자",218
"부산광역시","2015.3/4","30 - 39세","여자",134
"부산광역시","2015.3/4","40 - 49세","남자",239
"부산광역시","2015.3/4","40 - 49세","여자",173
"부산광역시","2015.3/4","50 - 59세","남자",238
"부산광역시","2015.3/4","50 - 59세","여자",183
"부산광역시","2015.3/4","60세이상","남자",152
"부산광역시","2015.3/4","60세이상","여자",104
"부산광역시","2015.4/4","20 - 29세","남자",104
"부산광역시","2015.4/4","20 - 29세","여자",127
"부산광역시","2015.4/4","30 - 39세","남자",219
"부산광역시","2015.4/4","30 - 39세","여자",134
"부산광역시","2015.4/4","40 - 49세","남자",235
"부산광역시","2015.4/4","40 - 49세","여자",174
"부산광역시","2015.4/4","50 - 59세","남자",236
"부산광역시","2015.4/4","50 - 59세","여자",191
"부산광역시","2015.4/4","60세이상","남자",150
"부산광역시","2015.4/4","60세이상","여자",110
"부산광역시","2016.1/4","20 - 29세","남자",110
"부산광역시","2016.1/4","20 - 29세","여자",126
"부산광역시","2016.1/4","30 - 39세","남자",219
"부산광역시","2016.1/4","30 - 39세","여자",137
"부산광역시","2016.1/4","40 - 49세","남자",231
"부산광역시","2016.1/4","40 - 49세","여자",172
"부산광역시","2016.1/4","50 - 59세","남자",236
"부산광역시","2016.1/4","50 - 59세","여자",181
"부산광역시","2016.1/4","60세이상","남자",146
"부산광역시","2016.1/4","60세이상","여자",105
"부산광역시","2016.2/4","20 - 29세","남자",109
"부산광역시","2016.2/4","20 - 29세","여자",127
"부산광역시","2016.2/4","30 - 39세","남자",215
"부산광역시","2016.2/4","30 - 39세","여자",137
"부산광역시","2016.2/4","40 - 49세","남자",235
"부산광역시","2016.2/4","40 - 49세","여자",169
"부산광역시","2016.2/4","50 - 59세","남자",236
"부산광역시","2016.2/4","50 - 59세","여자",176
"부산광역시","2016.2/4","60세이상","남자",159
"부산광역시","2016.2/4","60세이상","여자",118
"부산광역시","2016.3/4","20 - 29세","남자",111
"부산광역시","2016.3/4","20 - 29세","여자",127
"부산광역시","2016.3/4","30 - 39세","남자",210
"부산광역시","2016.3/4","30 - 39세","여자",138
"부산광역시","2016.3/4","40 - 49세","남자",237
